"model","iteration","corr_iter","MAF","gen"
"BB",1,0.254992229905519,0.01,"all"
"BB",2,0.266386048040583,0.01,"all"
"BB",3,0.263050072196119,0.01,"all"
"BB",4,0.258409044560055,0.01,"all"
"BB",5,0.262283239084409,0.01,"all"
"BB",6,0.261041917335255,0.01,"all"
"BB",7,0.257172134880426,0.01,"all"
"BB",8,0.256908308077147,0.01,"all"
"BB",9,0.257961001575779,0.01,"all"
"BB",10,0.259456337652076,0.01,"all"
"BRR",1,0.242092148066215,0.01,"all"
"BRR",2,0.243328452025585,0.01,"all"
"BRR",3,0.244488257876545,0.01,"all"
"BRR",4,0.244402948068691,0.01,"all"
"BRR",5,0.24348207917123,0.01,"all"
"BRR",6,0.243546872566564,0.01,"all"
"BRR",7,0.243825559970643,0.01,"all"
"BRR",8,0.243130001612532,0.01,"all"
"BRR",9,0.244091583804339,0.01,"all"
"BRR",10,0.243767674193027,0.01,"all"
"EGBLUP",1,0.242812795740182,0.01,"all"
"EGBLUP",2,0.242421473139184,0.01,"all"
"EGBLUP",3,0.241285082973607,0.01,"all"
"EGBLUP",4,0.239827835755504,0.01,"all"
"EGBLUP",5,0.242884579565321,0.01,"all"
"EGBLUP",6,0.242335886759381,0.01,"all"
"EGBLUP",7,0.241104526168888,0.01,"all"
"EGBLUP",8,0.240818730991389,0.01,"all"
"EGBLUP",9,0.239286537292869,0.01,"all"
"EGBLUP",10,0.240911838269387,0.01,"all"
"GB",1,0.331850957975576,0.01,"all"
"GB",2,0.317122077255664,0.01,"all"
"GB",3,0.325102727424067,0.01,"all"
"GB",4,0.304978730326121,0.01,"all"
"GB",5,0.319306793775961,0.01,"all"
"GB",6,0.314999511584997,0.01,"all"
"GB",7,0.329922359003399,0.01,"all"
"GB",8,0.318051798789462,0.01,"all"
"GB",9,0.314596649108621,0.01,"all"
"GB",10,0.312418652510063,0.01,"all"
"GBLUP",1,0.241050542118724,0.01,"all"
"GBLUP",2,0.241050542118724,0.01,"all"
"GBLUP",3,0.241050542118724,0.01,"all"
"GBLUP",4,0.241050542118724,0.01,"all"
"GBLUP",5,0.241050542118724,0.01,"all"
"GBLUP",6,0.241050542118724,0.01,"all"
"GBLUP",7,0.241050542118724,0.01,"all"
"GBLUP",8,0.241050542118724,0.01,"all"
"GBLUP",9,0.241050542118724,0.01,"all"
"GBLUP",10,0.241050542118724,0.01,"all"
"LASSO",1,0.244818071778469,0.01,"all"
"LASSO",2,0.244089903761309,0.01,"all"
"LASSO",3,0.247718997430103,0.01,"all"
"LASSO",4,0.244289464427335,0.01,"all"
"LASSO",5,0.24246525982183,0.01,"all"
"LASSO",6,0.24626186863174,0.01,"all"
"LASSO",7,0.244631144154107,0.01,"all"
"LASSO",8,0.246430912075701,0.01,"all"
"LASSO",9,0.243664778112047,0.01,"all"
"LASSO",10,0.245928366283916,0.01,"all"
"LR",1,0.27916848560444,0.01,"all"
"LR",2,0.266733932118051,0.01,"all"
"LR",3,0.273702059081788,0.01,"all"
"LR",4,0.252795047700835,0.01,"all"
"LR",5,0.263032633881209,0.01,"all"
"LR",6,0.268071504805742,0.01,"all"
"LR",7,0.278729961550969,0.01,"all"
"LR",8,0.273708111902497,0.01,"all"
"LR",9,0.267789983588576,0.01,"all"
"LR",10,0.256991336089043,0.01,"all"
"RF",1,0.281927781471297,0.01,"all"
"RF",2,0.276557744588446,0.01,"all"
"RF",3,0.282558851726414,0.01,"all"
"RF",4,0.277285270434254,0.01,"all"
"RF",5,0.27658109586964,0.01,"all"
"RF",6,0.278570014923007,0.01,"all"
"RF",7,0.283654576343727,0.01,"all"
"RF",8,0.278711556596885,0.01,"all"
"RF",9,0.280999438418947,0.01,"all"
"RF",10,0.276274338603891,0.01,"all"
"RKHS",1,0.257818232615966,0.01,"all"
"RKHS",2,0.258992413308049,0.01,"all"
"RKHS",3,0.258007855834662,0.01,"all"
"RKHS",4,0.255190576032031,0.01,"all"
"RKHS",5,0.258435626082781,0.01,"all"
"RKHS",6,0.25563279589838,0.01,"all"
"RKHS",7,0.258295147467203,0.01,"all"
"RKHS",8,0.257177110634419,0.01,"all"
"RKHS",9,0.257112689642496,0.01,"all"
"RKHS",10,0.256106400931731,0.01,"all"
"BB",1,0.224699862380659,0.05,"F2"
"BB",2,0.228580440753516,0.05,"F2"
"BB",3,0.222147671605554,0.05,"F2"
"BB",4,0.226178049987282,0.05,"F2"
"BB",5,0.227188079260569,0.05,"F2"
"BB",6,0.218392163164656,0.05,"F2"
"BB",7,0.228302523803024,0.05,"F2"
"BB",8,0.220730971749574,0.05,"F2"
"BB",9,0.227393602617298,0.05,"F2"
"BB",10,0.217283852162123,0.05,"F2"
"BRR",1,0.239383014606667,0.05,"F2"
"BRR",2,0.240672203621345,0.05,"F2"
"BRR",3,0.238449880557107,0.05,"F2"
"BRR",4,0.239292389092093,0.05,"F2"
"BRR",5,0.236714769104733,0.05,"F2"
"BRR",6,0.239163322241793,0.05,"F2"
"BRR",7,0.240286902484756,0.05,"F2"
"BRR",8,0.237264776110956,0.05,"F2"
"BRR",9,0.237764000862084,0.05,"F2"
"BRR",10,0.238680780478225,0.05,"F2"
"EGBLUP",1,0.246554065664632,0.05,"F2"
"EGBLUP",2,0.243523502684933,0.05,"F2"
"EGBLUP",3,0.24375761813203,0.05,"F2"
"EGBLUP",4,0.243680542618119,0.05,"F2"
"EGBLUP",5,0.242620690492765,0.05,"F2"
"EGBLUP",6,0.244058542307896,0.05,"F2"
"EGBLUP",7,0.244286026915434,0.05,"F2"
"EGBLUP",8,0.240792331881072,0.05,"F2"
"EGBLUP",9,0.242880463652304,0.05,"F2"
"EGBLUP",10,0.248773884348005,0.05,"F2"
"GB",1,0.270538873127192,0.05,"F2"
"GB",2,0.261764503046372,0.05,"F2"
"GB",3,0.268994261186153,0.05,"F2"
"GB",4,0.302703410702204,0.05,"F2"
"GB",5,0.272072601102874,0.05,"F2"
"GB",6,0.266506723487747,0.05,"F2"
"GB",7,0.244916824617075,0.05,"F2"
"GB",8,0.276281470644394,0.05,"F2"
"GB",9,0.263744807431898,0.05,"F2"
"GB",10,0.249604742945232,0.05,"F2"
"GBLUP",1,0.232067316430702,0.05,"F2"
"GBLUP",2,0.232067316430702,0.05,"F2"
"GBLUP",3,0.232067316430702,0.05,"F2"
"GBLUP",4,0.232067316430702,0.05,"F2"
"GBLUP",5,0.232067316430702,0.05,"F2"
"GBLUP",6,0.232067316430702,0.05,"F2"
"GBLUP",7,0.232067316430702,0.05,"F2"
"GBLUP",8,0.232067316430702,0.05,"F2"
"GBLUP",9,0.232067316430702,0.05,"F2"
"GBLUP",10,0.232067316430702,0.05,"F2"
"LASSO",1,0.237731256087497,0.05,"F2"
"LASSO",2,0.23891550660213,0.05,"F2"
"LASSO",3,0.24075567518911,0.05,"F2"
"LASSO",4,0.236773587794774,0.05,"F2"
"LASSO",5,0.23904608122195,0.05,"F2"
"LASSO",6,0.240056581420148,0.05,"F2"
"LASSO",7,0.238492816124428,0.05,"F2"
"LASSO",8,0.236627582878727,0.05,"F2"
"LASSO",9,0.239856989045514,0.05,"F2"
"LASSO",10,0.239459508555278,0.05,"F2"
"LR",1,0.234883115525656,0.05,"F2"
"LR",2,0.223524736918375,0.05,"F2"
"LR",3,0.241865715237735,0.05,"F2"
"LR",4,0.273228209780747,0.05,"F2"
"LR",5,0.216971582124753,0.05,"F2"
"LR",6,0.267827640388115,0.05,"F2"
"LR",7,0.237763532242494,0.05,"F2"
"LR",8,0.262066984673573,0.05,"F2"
"LR",9,0.246092774535533,0.05,"F2"
"LR",10,0.247943306086865,0.05,"F2"
"RF",1,0.226635824658261,0.05,"F2"
"RF",2,0.241503599442199,0.05,"F2"
"RF",3,0.243331649143351,0.05,"F2"
"RF",4,0.259404115780924,0.05,"F2"
